alpha,type,n_steps,wordpair,Clue1,clue_score
RSA,intersection,8,giant-subtle,size,0.0350604404
RSA,intersection,16,giant-subtle,size,0.0245234293
RSA,intersection,32,giant-subtle,size,0.0189474483
RSA,intersection,64,giant-subtle,size,0.0159599105
RSA,intersection,128,giant-subtle,size,0.0142090628
RSA,intersection,256,giant-subtle,size,0.0130087807
RSA,intersection,512,giant-subtle,size,0.0124057405
RSA,intersection,1024,giant-subtle,size,0.0121196374
RSA,intersection,2048,giant-subtle,size,0.0120413389
RSA,intersection,4096,giant-subtle,size,0.0120147144
RSA,union,256,giant-subtle,subdue,0.0005070196
RSA,union,512,giant-subtle,subdue,0.0004993306
RSA,union,1024,giant-subtle,subdue,0.0004965308
RSA,union,2048,giant-subtle,subdue,0.0004957376
RSA,union,4096,giant-subtle,subdue,0.0004955704
RSA,intersection,512,giant-subtle,subdue,0.0005122192
RSA,intersection,1024,giant-subtle,subdue,0.0005004063
RSA,intersection,2048,giant-subtle,subdue,0.0004971734
RSA,intersection,4096,giant-subtle,subdue,0.0004960741
RSA,union,4,giant-subtle,sun,0.0003027761
RSA,union,8,giant-subtle,sun,0.0002172512
RSA,union,16,giant-subtle,sun,0.0001809873
RSA,union,32,giant-subtle,sun,0.0001583289
RSA,union,64,giant-subtle,sun,0.0001464028
RSA,union,128,giant-subtle,sun,0.0001390995
RSA,union,256,giant-subtle,sun,0.000136074
RSA,union,512,giant-subtle,sun,0.0001340104
RSA,union,1024,giant-subtle,sun,0.000133259
RSA,union,2048,giant-subtle,sun,0.0001330462
RSA,union,4096,giant-subtle,sun,0.0001330013
RSA,intersection,8,giant-subtle,sun,0.0003885089
RSA,intersection,16,giant-subtle,sun,0.000271747
RSA,intersection,32,giant-subtle,sun,0.0002099589
RSA,intersection,64,giant-subtle,sun,0.0001768537
RSA,intersection,128,giant-subtle,sun,0.0001574523
RSA,intersection,256,giant-subtle,sun,0.0001441518
RSA,intersection,512,giant-subtle,sun,0.0001374695
RSA,intersection,1024,giant-subtle,sun,0.0001342991
RSA,intersection,2048,giant-subtle,sun,0.0001334315
RSA,intersection,4096,giant-subtle,sun,0.0001331365
RSA,union,2,happy-sad,emotion,0.1065309932
RSA,union,4,happy-sad,emotion,0.0474395496
RSA,union,8,happy-sad,emotion,0.043308402
RSA,union,16,happy-sad,emotion,0.0412678483
RSA,union,32,happy-sad,emotion,0.039855505
RSA,union,64,happy-sad,emotion,0.0388947109
RSA,union,128,happy-sad,emotion,0.0382930538
RSA,union,256,happy-sad,emotion,0.0376512128
RSA,union,512,happy-sad,emotion,0.0375035244
RSA,union,1024,happy-sad,emotion,0.0374357956
RSA,union,2048,happy-sad,emotion,0.0374283226
RSA,union,4096,happy-sad,emotion,0.037424986
RSA,intersection,2,happy-sad,emotion,0.2537811501
RSA,intersection,4,happy-sad,emotion,0.1124100648
RSA,intersection,8,happy-sad,emotion,0.0537312975
RSA,intersection,16,happy-sad,emotion,0.0475083002
RSA,intersection,32,happy-sad,emotion,0.0458371217
RSA,intersection,64,happy-sad,emotion,0.0420291774
RSA,intersection,128,happy-sad,emotion,0.0401155706
RSA,intersection,256,happy-sad,emotion,0.0383590489
RSA,intersection,512,happy-sad,emotion,0.037695056
RSA,intersection,1024,happy-sad,emotion,0.0375744158
RSA,intersection,2048,happy-sad,emotion,0.0374987454
RSA,intersection,4096,happy-sad,emotion,0.0374297372
RSA,union,2,happy-sad,feeling,0.021446747
RSA,union,4,happy-sad,feeling,0.0095504978
RSA,union,8,happy-sad,feeling,0.008718818
RSA,union,16,happy-sad,feeling,0.0083080151
RSA,union,32,happy-sad,feeling,0.0080236831
RSA,union,64,happy-sad,feeling,0.0078302567
RSA,union,128,happy-sad,feeling,0.0077091315
RSA,union,256,happy-sad,feeling,0.0075799165
RSA,union,512,happy-sad,feeling,0.007550184
RSA,union,1024,happy-sad,feeling,0.0075365489
RSA,union,2048,happy-sad,feeling,0.0075350444
RSA,union,4096,happy-sad,feeling,0.0075343727
RSA,intersection,2,happy-sad,feeling,0.0510910482
RSA,intersection,4,happy-sad,feeling,0.0226303177
