"Experiment","Board","wordpair","clue","count","total","proportion"
"E1","TrialList8","communicate-cooking","tell",1,31,0.032258064516129
"E1","TrialList8","communicate-cooking","video",1,31,0.032258064516129
"E1","TrialList4","corpse-fight","war",7,31,0.225806451612903
"E1","TrialList4","corpse-fight","death",6,31,0.193548387096774
"E1","TrialList4","corpse-fight","battle",3,31,0.0967741935483871
"E1","TrialList4","corpse-fight","dead",2,31,0.0645161290322581
"E1","TrialList4","corpse-fight","zombie",2,31,0.0645161290322581
"E1","TrialList4","corpse-fight","abuse",1,31,0.032258064516129
"E1","TrialList4","corpse-fight","body",1,31,0.032258064516129
"E1","TrialList4","corpse-fight","dark",1,31,0.032258064516129
"E1","TrialList4","corpse-fight","fatal",1,31,0.032258064516129
"E1","TrialList4","corpse-fight","funeral",1,31,0.032258064516129
"E1","TrialList4","corpse-fight","gladiator",1,31,0.032258064516129
"E1","TrialList4","corpse-fight","gun",1,31,0.032258064516129
"E1","TrialList4","corpse-fight","hamilton",1,31,0.032258064516129
"E1","TrialList4","corpse-fight","kill",1,31,0.032258064516129
"E1","TrialList4","corpse-fight","knockout",1,31,0.032258064516129
"E1","TrialList4","corpse-fight","murder",1,31,0.032258064516129
"E2","TrialList6","crust-boot","mud",13,44,0.295454545454545
"E2","TrialList6","crust-boot","dirt",5,44,0.113636363636364
"E2","TrialList6","crust-boot","dirty",4,44,0.0909090909090909
"E2","TrialList6","crust-boot","shoe",4,44,0.0909090909090909
"E2","TrialList6","crust-boot","hike",2,44,0.0454545454545455
"E2","TrialList6","crust-boot","italy",2,44,0.0454545454545455
"E2","TrialList6","crust-boot","blister",1,44,0.0227272727272727
"E2","TrialList6","crust-boot","callus",1,44,0.0227272727272727
"E2","TrialList6","crust-boot","desert",1,44,0.0227272727272727
"E2","TrialList6","crust-boot","earth",1,44,0.0227272727272727
"E2","TrialList6","crust-boot","fisherman",1,44,0.0227272727272727
"E2","TrialList6","crust-boot","footwear",1,44,0.0227272727272727
"E2","TrialList6","crust-boot","grime",1,44,0.0227272727272727
"E2","TrialList6","crust-boot","ground",1,44,0.0227272727272727
"E2","TrialList6","crust-boot","item",1,44,0.0227272727272727
"E2","TrialList6","crust-boot","old",1,44,0.0227272727272727
"E2","TrialList6","crust-boot","pizza",1,44,0.0227272727272727
"E2","TrialList6","crust-boot","sock",1,44,0.0227272727272727
"E2","TrialList6","crust-boot","sole",1,44,0.0227272727272727
"E2","TrialList6","crust-boot","upper",1,44,0.0227272727272727
"E1","TrialList6","definition-assist","dictionary",12,31,0.387096774193548
"E1","TrialList6","definition-assist","help",5,31,0.161290322580645
"E1","TrialList6","definition-assist","explain",3,31,0.0967741935483871
"E1","TrialList6","definition-assist","synonym",2,31,0.0645161290322581
"E1","TrialList6","definition-assist","teach",2,31,0.0645161290322581
"E1","TrialList6","definition-assist","clarify",1,31,0.032258064516129
"E1","TrialList6","definition-assist","helpful",1,31,0.032258064516129
"E1","TrialList6","definition-assist","instructor",1,31,0.032258064516129
"E1","TrialList6","definition-assist","reference",1,31,0.032258064516129
"E1","TrialList6","definition-assist","rondo",1,31,0.032258064516129
"E1","TrialList6","definition-assist","thesaurus",1,31,0.032258064516129
"E1","TrialList6","definition-assist","vocabulary",1,31,0.032258064516129
"E2","TrialList4","dream-bet","gamble",7,44,0.159090909090909
"E2","TrialList4","dream-bet","goal",5,44,0.113636363636364
"E2","TrialList4","dream-bet","lottery",4,44,0.0909090909090909
"E2","TrialList4","dream-bet","wish",3,44,0.0681818181818182
"E2","TrialList4","dream-bet","chance",2,44,0.0454545454545455
"E2","TrialList4","dream-bet","future",2,44,0.0454545454545455
"E2","TrialList4","dream-bet","nightmare",2,44,0.0454545454545455
"E2","TrialList4","dream-bet","risk",2,44,0.0454545454545455
"E2","TrialList4","dream-bet","uncertain",2,44,0.0454545454545455
"E2","TrialList4","dream-bet","wishful",2,44,0.0454545454545455
"E2","TrialList4","dream-bet","bed",1,44,0.0227272727272727
"E2","TrialList4","dream-bet","belief",1,44,0.0227272727272727
"E2","TrialList4","dream-bet","dopamine",1,44,0.0227272727272727
"E2","TrialList4","dream-bet","hope",1,44,0.0227272727272727
"E2","TrialList4","dream-bet","imagine",1,44,0.0227272727272727
"E2","TrialList4","dream-bet","luck",1,44,0.0227272727272727
"E2","TrialList4","dream-bet","millionaire",1,44,0.0227272727272727
"E2","TrialList4","dream-bet","money",1,44,0.0227272727272727
"E2","TrialList4","dream-bet","predict",1,44,0.0227272727272727
"E2","TrialList4","dream-bet","rich",1,44,0.0227272727272727
"E2","TrialList4","dream-bet","stake",1,44,0.0227272727272727
"E2","TrialList4","dream-bet","vegas",1,44,0.0227272727272727
"E2","TrialList4","dream-bet","win",1,44,0.0227272727272727
"E2","TrialList7","east-short","direction",14,44,0.318181818181818
"E2","TrialList7","east-short","vector",3,44,0.0681818181818182
"E2","TrialList7","east-short","asian",2,44,0.0454545454545455
"E2","TrialList7","east-short","illinois",2,44,0.0454545454545455
"E2","TrialList7","east-short","small",2,44,0.0454545454545455
"E2","TrialList7","east-short","sunrise",2,44,0.0454545454545455
"E2","TrialList7","east-short","west",2,44,0.0454545454545455
"E2","TrialList7","east-short","arrow",1,44,0.0227272727272727
"E2","TrialList7","east-short","cardinal",1,44,0.0227272727272727
"E2","TrialList7","east-short","coast",1,44,0.0227272727272727
"E2","TrialList7","east-short","compass",1,44,0.0227272727272727
"E2","TrialList7","east-short","directionless",1,44,0.0227272727272727
"E2","TrialList7","east-short","distance",1,44,0.0227272727272727
"E2","TrialList7","east-short","identification",1,44,0.0227272727272727
"E2","TrialList7","east-short","inch",1,44,0.0227272727272727
"E2","TrialList7","east-short","jersey",1,44,0.0227272727272727
"E2","TrialList7","east-short","magnitude",1,44,0.0227272727272727
"E2","TrialList7","east-short","measurement",1,44,0.0227272727272727
"E2","TrialList7","east-short","navigate",1,44,0.0227272727272727
"E2","TrialList7","east-short","origin",1,44,0.0227272727272727
"E2","TrialList7","east-short","physicality",1,44,0.0227272727272727
"E2","TrialList7","east-short","road",1,44,0.0227272727272727
"E2","TrialList7","east-short","simple",1,44,0.0227272727272727
"E2","TrialList7","east-short","turn",1,44,0.0227272727272727
"E2","TrialList6","elm-rock","nature",11,44,0.25
"E2","TrialList6","elm-rock","forest",3,44,0.0681818181818182
"E2","TrialList6","elm-rock","hard",3,44,0.0681818181818182
"E2","TrialList6","elm-rock","landscape",3,44,0.0681818181818182
"E2","TrialList6","elm-rock","stone",2,44,0.0454545454545455
"E2","TrialList6","elm-rock","tree",2,44,0.0454545454545455
"E2","TrialList6","elm-rock","wood",2,44,0.0454545454545455
"E2","TrialList6","elm-rock","backyard",1,44,0.0227272727272727
"E2","TrialList6","elm-rock","climb",1,44,0.0227272727272727
"E2","TrialList6","elm-rock","earth",1,44,0.0227272727272727
"E2","TrialList6","elm-rock","firm",1,44,0.0227272727272727
"E2","TrialList6","elm-rock","ground",1,44,0.0227272727272727
"E2","TrialList6","elm-rock","hardwood",1,44,0.0227272727272727
"E2","TrialList6","elm-rock","heavy",1,44,0.0227272727272727
"E2","TrialList6","elm-rock","inanimate",1,44,0.0227272727272727
"E2","TrialList6","elm-rock","landform",1,44,0.0227272727272727
"E2","TrialList6","elm-rock","landmark",1,44,0.0227272727272727
"E2","TrialList6","elm-rock","lichen",1,44,0.0227272727272727
"E2","TrialList6","elm-rock","moss",1,44,0.0227272727272727
"E2","TrialList6","elm-rock","natural",1,44,0.0227272727272727
"E2","TrialList6","elm-rock","outcropping",1,44,0.0227272727272727
"E2","TrialList6","elm-rock","outdoor",1,44,0.0227272727272727
"E2","TrialList6","elm-rock","rigid",1,44,0.0227272727272727
"E2","TrialList6","elm-rock","root",1,44,0.0227272727272727
"E2","TrialList6","elm-rock","unmoving",1,44,0.0227272727272727
"E1","TrialList1","exam-algebra","math",22,31,0.709677419354839
"E1","TrialList1","exam-algebra","test",3,31,0.0967741935483871
"E1","TrialList1","exam-algebra","school",2,31,0.0645161290322581
"E1","TrialList1","exam-algebra","calculus",1,31,0.032258064516129
"E1","TrialList1","exam-algebra","equation",1,31,0.032258064516129
"E1","TrialList1","exam-algebra","knowledge",1,31,0.032258064516129
"E1","TrialList1","exam-algebra","study",1,31,0.032258064516129
"E1","TrialList3","famine-calorie","food",18,31,0.580645161290323
"E1","TrialList3","famine-calorie","hunger",5,31,0.161290322580645
"E1","TrialList3","famine-calorie","starve",3,31,0.0967741935483871
"E1","TrialList3","famine-calorie","anorexia",1,31,0.032258064516129
"E1","TrialList3","famine-calorie","appetite",1,31,0.032258064516129
"E1","TrialList3","famine-calorie","deficit",1,31,0.032258064516129
"E1","TrialList3","famine-calorie","diet",1,31,0.032258064516129
"E1","TrialList3","famine-calorie","potato",1,31,0.032258064516129
"E2","TrialList10","feet-chapel","jesus",3,44,0.0681818181818182
"E2","TrialList10","feet-chapel","kneel",3,44,0.0681818181818182
"E2","TrialList10","feet-chapel","wash",3,44,0.0681818181818182
"E2","TrialList10","feet-chapel","worship",3,44,0.0681818181818182
"E2","TrialList10","feet-chapel","baptism",2,44,0.0454545454545455
"E2","TrialList10","feet-chapel","bare",2,44,0.0454545454545455
"E2","TrialList10","feet-chapel","church",2,44,0.0454545454545455
"E2","TrialList10","feet-chapel","holy",2,44,0.0454545454545455
"E2","TrialList10","feet-chapel","pilgrimage",2,44,0.0454545454545455
"E2","TrialList10","feet-chapel","prayer",2,44,0.0454545454545455
"E2","TrialList10","feet-chapel","aisle",1,44,0.0227272727272727
"E2","TrialList10","feet-chapel","catholicism",1,44,0.0227272727272727
"E2","TrialList10","feet-chapel","churchgoer",1,44,0.0227272727272727
"E2","TrialList10","feet-chapel","churchyard",1,44,0.0227272727272727
"E2","TrialList10","feet-chapel","cleanse",1,44,0.0227272727272727
"E2","TrialList10","feet-chapel","david",1,44,0.0227272727272727
"E2","TrialList10","feet-chapel","foot",1,44,0.0227272727272727
"E2","TrialList10","feet-chapel","god",1,44,0.0227272727272727
"E2","TrialList10","feet-chapel","ground",1,44,0.0227272727272727
"E2","TrialList10","feet-chapel","marble",1,44,0.0227272727272727
"E2","TrialList10","feet-chapel","miracle",1,44,0.0227272727272727
"E2","TrialList10","feet-chapel","mosque",1,44,0.0227272727272727
"E2","TrialList10","feet-chapel","penny loafers",1,44,0.0227272727272727
"E2","TrialList10","feet-chapel","pope",1,44,0.0227272727272727
"E2","TrialList10","feet-chapel","religious",1,44,0.0227272727272727
"E2","TrialList10","feet-chapel","sandals",1,44,0.0227272727272727
"E2","TrialList10","feet-chapel","shoe",1,44,0.0227272727272727
"E2","TrialList10","feet-chapel","stand",1,44,0.0227272727272727
"E2","TrialList10","feet-chapel","walk",1,44,0.0227272727272727
"E2","TrialList10","feet-chapel","waltz",1,44,0.0227272727272727
"E1","TrialList7","flat-alike","similar",5,31,0.161290322580645
"E1","TrialList7","flat-alike","pancake",2,31,0.0645161290322581
